program_studi,rumpun,bidang,kata_kunci_pemicu,n_profesi,n_program,sumber
TEKNIK MESIN DAN INDUSTRI,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MESIN KILANG,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MESIN PERTANIAN DAN PANGAN,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MESIN PESAWAT UDARA,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MESIN/OTOMOTIF,Mesin dan Konversi Energi,TEKNIK,OTOMOTIF,0,0,rbb
TEKNIK MESIN/PRODUKSI,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MOTOR PESAWAT,Mesin dan Konversi Energi,TEKNIK,MOTOR PESAWAT,0,0,rbb
TEKNIK NAVIGASI DAN TELEKOMUNIKASI UDARA,Komunikasi dan Humas,NON-TEKNIK,KOMUNIKASI,0,0,rbb
TEKNIK NAVIGASI PENERBANGAN,Mesin dan Konversi Energi,TEKNIK,PENERBANGAN,0,0,rbb
TEKNIK NUKLIR,Mesin dan Konversi Energi,TEKNIK,NUKLIR,0,0,rbb
TEKNIK OTOMASI,Elektro dan Ketenagalistrikan,TEKNIK,OTOMASI,0,0,rbb
TEKNIK OTOMASI MANUFAKTUR DAN MEKATRONIKA,Elektro dan Ketenagalistrikan,TEKNIK,OTOMASI,0,0,rbb
TEKNIK OTOMOTIF,Mesin dan Konversi Energi,TEKNIK,OTOMOTIF,0,0,rbb
TEKNIK OTOMOTIF DAN ROBOTIKA,Mesin dan Konversi Energi,TEKNIK,OTOMOTIF,0,0,rbb
TEKNIK PENDINGIN DAN TATA UDARA,Mesin dan Konversi Energi,TEKNIK,PENDINGIN,0,0,rbb
TEKNIK PENERBANGAN,Mesin dan Konversi Energi,TEKNIK,PENERBANGAN,0,0,rbb
TEKNIK PENERBANGAN MESIN,Mesin dan Konversi Energi,TEKNIK,PENERBANGAN,0,0,rbb
TEKNIK PENGAIRAN,Sipil dan Geodesi,TEKNIK,PENGAIRAN,0,0,rbb
TEKNIK PENGOLAHAN KARET DAN PLASTIK,Kimia dan Lingkungan,TEKNIK,KARET DAN PLASTIK,0,0,rbb
TEKNIK PERANCANGAN JALAN DAN JEMBATAN,Sipil dan Geodesi,TEKNIK,JALAN DAN JEMBATAN,0,0,rbb
TEKNIK PERANGKAT LUNAK,Informatika dan Data,TEKNIK,PERANGKAT LUNAK,0,0,rbb
TEKNIK PERECANAAN WILAYAH DAN KOTA,Sipil dan Geodesi,TEKNIK,PERECANAAN WILAYAH,0,0,rbb
TEKNIK PERENCANAAN DAN KONSTRUKSI,Sipil dan Geodesi,TEKNIK,PERENCANAAN DAN KONSTRUKSI,0,0,rbb
TEKNIK PERENCANAAN WILAYAH DAN KOTA,Sipil dan Geodesi,TEKNIK,PERENCANAAN WILAYAH,0,0,rbb
TEKNIK PERENCANAAN WILAYAH DAN KOTA PLANOLOGI,Sipil dan Geodesi,TEKNIK,PLANOLOGI,0,0,rbb
TEKNIK PERKERETAAPIAN,Mesin dan Konversi Energi,TEKNIK,PERKERETAAPIAN,0,0,rbb
TEKNIK PERMESINAN,Mesin dan Konversi Energi,TEKNIK,PERMESINAN,0,0,rbb
TEKNIK PERTAMBANGAN,Mesin dan Konversi Energi,TEKNIK,PERTAMBANGAN,0,2,programs
TEKNIK PERTEKSTILAN (TEKSTIL),Industri dan Rekayasa,TEKNIK,TEKSTIL,0,0,rbb
TEKNIK PESAWAT UDARA,Mesin dan Konversi Energi,TEKNIK,PESAWAT UDARA,0,0,rbb
TEKNIK PLANOLOGI,Sipil dan Geodesi,TEKNIK,PLANOLOGI,0,0,rbb
TEKNIK PRODUKSI,Industri dan Rekayasa,TEKNIK,PRODUKSI,0,0,rbb
TEKNIK PRODUKSI DAN PROSES MANUFAKTUR,Industri dan Rekayasa,TEKNIK,MANUFAKTUR,0,0,rbb
TEKNIK PRODUKSI PROSES MANUFAKTUR,Industri dan Rekayasa,TEKNIK,MANUFAKTUR,0,0,rbb
TEKNIK RANGKA PESAWAT,Mesin dan Konversi Energi,TEKNIK,RANGKA PESAWAT,0,0,rbb
TEKNIK REFRIGERASI,Mesin dan Konversi Energi,TEKNIK,REFRIGERASI,0,0,rbb
TEKNIK REKAYASA PERANGKAT LUNAK,Informatika dan Data,TEKNIK,PERANGKAT LUNAK,0,0,rbb
TEKNIK SIPIL,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,32,19,profesi|programs|rbb
TEKNIK SIPIL ARSITEKTUR,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL BANGUNAN GEDUNG,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL DAN LINGKUNGAN,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL DAN PERENCANAAN,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL GEOTEKNIK,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL INFRASTRUKTUR PERKOTAAN,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL MANAJEMEN KONSTRUKSI,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL MANAJEMEN PROYEK,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL MANAJEMEN SDA,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL PERANCANGAN JALAN DAN JEMBATAN,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL SDA,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL STRUKTUR,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SIPIL TRANSPORTASI,Sipil dan Geodesi,TEKNIK,TEKNIK SIPIL,0,0,rbb
TEKNIK SYNTH FIBER,Industri dan Rekayasa,TEKNIK,SYNTH FIBER,0,0,rbb
TEKNIK TEKSTIL,Industri dan Rekayasa,TEKNIK,TEKSTIL,0,0,rbb
TEKNIK TELEKOMUNIKASI,Informatika dan Data,TEKNIK,TEKNIK TELEKOMUNIKASI,2,1,profesi|programs|rbb
TEKNIK TELEKOMUNIKASI DAN NAVIGASI PENERBANGAN,Informatika dan Data,TEKNIK,TEKNIK TELEKOMUNIKASI,0,0,rbb
TEKNIK TELEKOMUNIKASI DAN NAVIGASI PESAWAT,Informatika dan Data,TEKNIK,TEKNIK TELEKOMUNIKASI,0,0,rbb
TEKNIK TELEKOMUNIKASI DAN NAVIGASI UDARA,Informatika dan Data,TEKNIK,TEKNIK TELEKOMUNIKASI,0,0,rbb
TEKNIK TENAGA ELEKTRIK,Elektro dan Ketenagalistrikan,TEKNIK,TENAGA ELEKTRIK,0,0,rbb
TEKNIK TENAGA LISTRIK,Elektro dan Ketenagalistrikan,TEKNIK,TENAGA LISTRIK,0,0,rbb
TEKNOLOGI ALAT BERAT,Mesin dan Konversi Energi,TEKNIK,ALAT BERAT,0,0,rbb
TEKNOLOGI DAN APLIKASI MOBILE,Informatika dan Data,TEKNIK,APLIKASI MOBILE,0,0,rbb
TEKNOLOGI DAN MANAJEMEN BUDIDAYA PERAIRAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI DAN MANAJEMEN PERIKANAN BUDIDAYA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI DAN MANAJEMEN PERIKANAN BUDIDAYA AIR TAWAR,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI DAN MANAJEMEN PERIKANAN TANGKAP,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI DAN MANAJEMEN PETERNAKAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI DAN MANAJEMEN PRODUKSI PERKEBUNAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI INFORMASI,Informatika dan Data,TEKNIK,TEKNOLOGI INFORMASI,0,0,rbb
TEKNOLOGI INFRASTRUKTUR DAN KEWILAYAHAN,Sipil dan Geodesi,TEKNIK,INFRASTRUKTUR,0,0,rbb
TEKNOLOGI INSTRUMENTASI,Elektro dan Ketenagalistrikan,TEKNIK,INSTRUMENTASI,0,0,rbb
TEKNOLOGI KIMIA TEKSTIL,Industri dan Rekayasa,TEKNIK,TEKSTIL,0,0,rbb
TEKNOLOGI MANAJEMEN PERIKANAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI PENERBANGAN,Mesin dan Konversi Energi,TEKNIK,PENERBANGAN,0,0,rbb
TEKNOLOGI PRODUKSI DAN MANAJEMEN PERIKANAN BUDIDAYA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
TEKNOLOGI PRODUKSI TEKSTIL,Industri dan Rekayasa,TEKNIK,TEKSTIL,0,0,rbb
TEKNOLOGI REKAYASA PERANCANGAN MANUFAKTUR,Industri dan Rekayasa,TEKNIK,MANUFAKTUR,0,0,rbb
TEKNOLOGI TEKSTIL,Industri dan Rekayasa,TEKNIK,TEKSTIL,0,0,rbb
TEST MAJOR PAGI,,,,0,0,rbb
TRANSPORTASI,Sipil dan Geodesi,TEKNIK,TRANSPORTASI,0,0,rbb
