nama_posisi,kelompok_jabatan,fungsi,jenjang_utama,level_utama,bidang,sub_bidang,bidang_pembidangan,kata_kunci_pemicu,is_entry_level,jumlah_pegawai,jumlah_unit_induk
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN SUMEDANG,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN SUMEDANG,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA BARAT,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA BARAT,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA SELATAN,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA SELATAN,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA UTARA,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA UTARA,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN SURAKARTA,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN SURAKARTA,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TAHUNA,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TAHUNA,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TANAH BUMBU,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TANAH BUMBU,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG KARANG,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG KARANG,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG PINANG,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG PINANG,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG PRIOK,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG PRIOK,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TASIKMALAYA,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TASIKMALAYA,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TEGAL,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TEGAL,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TELUK NAGA,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TELUK NAGA,MD,17,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TERNATE,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TERNATE,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TIMIKA,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TIMIKA,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TOBELO,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TOBELO,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TOLI-TOLI,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TOLI-TOLI,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN TUAL,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN TUAL,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN WAMENA,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN WAMENA,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN WATAMPONE,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN WATAMPONE,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PELAYANAN PELANGGAN YOGYAKARTA DAN WONOSARI,MANAGER,UNIT PELAKSANA PELAYANAN PELANGGAN YOGYAKARTA DAN WONOSARI,MD,16,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELAYANAN PELANGGAN,0,1,1
MANAGER UNIT PELAKSANA PEMBANGKITAN BANGKA BELITUNG,MANAGER,UNIT PELAKSANA PEMBANGKITAN BANGKA BELITUNG,MD,17,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
MANAGER UNIT PELAKSANA PEMBANGKITAN FLORES,MANAGER,UNIT PELAKSANA PEMBANGKITAN FLORES,MD,16,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
MANAGER UNIT PELAKSANA PEMBANGKITAN LOMBOK,MANAGER,UNIT PELAKSANA PEMBANGKITAN LOMBOK,MD,17,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
MANAGER UNIT PELAKSANA PEMBANGKITAN MALUKU,MANAGER,UNIT PELAKSANA PEMBANGKITAN MALUKU,MD,17,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
MANAGER UNIT PELAKSANA PEMBANGKITAN PAPUA DAN PAPUA BARAT,MANAGER,UNIT PELAKSANA PEMBANGKITAN PAPUA DAN PAPUA BARAT,MD,17,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
MANAGER UNIT PELAKSANA PEMBANGKITAN TAMBORA,MANAGER,UNIT PELAKSANA PEMBANGKITAN TAMBORA,MD,16,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
MANAGER UNIT PELAKSANA PEMBANGKITAN TIMOR,MANAGER,UNIT PELAKSANA PEMBANGKITAN TIMOR,MD,16,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BANJARBARU,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BANJARBARU,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BOGOR,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BOGOR,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN JAKARTA,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN JAKARTA,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN MAKASSAR,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN MAKASSAR,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PADANG,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PADANG,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PALEMBANG,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PALEMBANG,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PANDAAN,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PANDAAN,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SEMARANG,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SEMARANG,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURABAYA,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURABAYA,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURALAYA,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURALAYA,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN TUNTUNGAN,MANAGER,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN TUNTUNGAN,MD,16,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,PENDIDIKAN DAN PELATIHAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN BALI,MANAGER,UNIT PELAKSANA PENGATUR BEBAN BALI,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN DKI JAKARTA DAN BANTEN,MANAGER,UNIT PELAKSANA PENGATUR BEBAN DKI JAKARTA DAN BANTEN,MD,17,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN JAWA BARAT,MANAGER,UNIT PELAKSANA PENGATUR BEBAN JAWA BARAT,MD,17,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN JAWA TENGAH DAN D.I. YOGYAKARTA,MANAGER,UNIT PELAKSANA PENGATUR BEBAN JAWA TENGAH DAN D.I. YOGYAKARTA,MD,17,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN JAWA TIMUR,MANAGER,UNIT PELAKSANA PENGATUR BEBAN JAWA TIMUR,MD,17,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN BARAT,MANAGER,UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN BARAT,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN SELATAN DAN KALIMANTANTENGAH,MANAGER,UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN SELATAN DAN KALIMANTANTENGAH,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN TIMUR DAN KALIMANTAN UTARA,MANAGER,UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN TIMUR DAN KALIMANTAN UTARA,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN NUSA TENGGARA BARAT,MANAGER,UNIT PELAKSANA PENGATUR BEBAN NUSA TENGGARA BARAT,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN NUSA TENGGARA TIMUR,MANAGER,UNIT PELAKSANA PENGATUR BEBAN NUSA TENGGARA TIMUR,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN SISTEM MAKASSAR,MANAGER,UNIT PELAKSANA PENGATUR BEBAN SISTEM MAKASSAR,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN SISTEM MINAHASA,MANAGER,UNIT PELAKSANA PENGATUR BEBAN SISTEM MINAHASA,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN SELATAN,MANAGER,UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN SELATAN,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN TENGAH,MANAGER,UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN TENGAH,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN UTARA,MANAGER,UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN UTARA,MD,16,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,PENGATUR BEBAN,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI ACEH,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI ACEH,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI BALI,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI BALI,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI BANTEN,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI BANTEN,MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI JAKARTA,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI JAKARTA,MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA BARAT,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA BARAT,MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA TIMUR,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA TIMUR,MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN BARAT,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN BARAT,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI LAMPUNG,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI LAMPUNG,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI NUSA TENGGARA BARAT,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI NUSA TENGGARA BARAT,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI RIAU,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI RIAU,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
"MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",MANAGER,"UNIT PELAKSANA PENGATUR DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
"MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",MANAGER,"UNIT PELAKSANA PENGATUR DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA BARAT,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA BARAT,MD,16,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
"MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",MANAGER,"UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA UTARA,MANAGER,UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA UTARA,MD,17,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
MANAGER UNIT PELAKSANA PENYALURAN DAN PENGATUR BEBAN MALUKU,MANAGER,UNIT PELAKSANA PENYALURAN DAN PENGATUR BEBAN MALUKU,MD,16,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,PENYALURAN,0,1,1
MANAGER UNIT PELAKSANA PENYALURAN DAN PENGATUR BEBAN PAPUA,MANAGER,UNIT PELAKSANA PENYALURAN DAN PENGATUR BEBAN PAPUA,MD,16,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,PENYALURAN,0,1,1
MANAGER UNIT PELAKSANA PRODUKSI DAN WORKSHOP I,MANAGER,UNIT PELAKSANA PRODUKSI DAN WORKSHOP I,MD,16,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,(fallback OFFICER),0,1,1
MANAGER UNIT PELAKSANA PRODUKSI DAN WORKSHOP II,MANAGER,UNIT PELAKSANA PRODUKSI DAN WORKSHOP II,MD,16,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,(fallback OFFICER),0,1,1
MANAGER UNIT PELAKSANA PRODUKSI DAN WORKSHOP III,MANAGER,UNIT PELAKSANA PRODUKSI DAN WORKSHOP III,MD,16,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,(fallback OFFICER),0,1,1
MANAGER UNIT PELAKSANA PRODUKSI DAN WORKSHOP IV,MANAGER,UNIT PELAKSANA PRODUKSI DAN WORKSHOP IV,MD,16,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,(fallback OFFICER),0,1,1
MANAGER UNIT PELAKSANA PRODUKSI DAN WORKSHOP V,MANAGER,UNIT PELAKSANA PRODUKSI DAN WORKSHOP V,MD,16,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,(fallback OFFICER),0,1,1
MANAGER UNIT PELAKSANA PRODUKSI DAN WORKSHOP VI,MANAGER,UNIT PELAKSANA PRODUKSI DAN WORKSHOP VI,MD,16,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,(fallback OFFICER),0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 1,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 1,MD,17,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 2,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 2,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 3,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 3,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 4,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 4,MD,17,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 1,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 1,MD,17,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 2,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 2,MD,17,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 3,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 3,MD,17,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 4,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 4,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 1,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 1,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 2,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 2,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 3,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 3,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 4,MANAGER,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 4,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 1,MANAGER,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 1,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 2,MANAGER,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 2,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 3,MANAGER,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 3,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 1,MANAGER,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 1,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 2,MANAGER,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 2,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 3,MANAGER,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 3,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
MANAGER UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 4,MANAGER,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 4,MD,16,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PROYEK,0,1,1
